srno,Tweets,id,len,date,time,source,likes,retweets,location
0,@KawaTweets We have escalated your request with Dahisar Traffic Division for necessary action.,1.58E+18,94,08-10-2022,15:22:29,Twitter Web App,0,0,dahisar
1,@its_yashchauhan We have forwarded your concern to Santacruz Traffic Division for necessary action.,1.58E+18,99,08-10-2022,15:17:12,Twitter Web App,0,0,santacruz
2,@DeveshParadkar We have forwarded your concern to Malad Traffic Division for necessary action,1.58E+18,93,08-10-2022,15:09:09,Twitter Web App,2,0,malad
3,@darpandalal We have informed concern Traffic Division of the necessary action,1.58E+18,78,08-10-2022,15:06:32,Twitter Web App,0,0,concern
4,@JsJayeshgshah We have escalated your request with Kandivali Traffic Division for necessary action.,1.58E+18,99,08-10-2022,14:49:46,Twitter Web App,0,0,kandivali
5,@SPagdhiwala We have escalated your request with Santacruz Traffic Division for necessary action.,1.58E+18,97,08-10-2022,14:46:33,Twitter Web App,0,0,santacruz
6,@ejvinit We are sharing your concern with D N Nagar Traffic Division for necessary stringent action.,1.58E+18,100,08-10-2022,14:42:36,Twitter Web App,0,0,nagar
7,@amangoeliitb Powai Traffic Division has been informed for prompt action.,1.58E+18,73,08-10-2022,14:31:28,Twitter Web App,2,0,powai
8,@RavindraAdhav1 We have intimated your concern to Powai traffic branch for necessary action.,1.58E+18,92,08-10-2022,14:26:42,Twitter Web App,1,0,necessary
9,@sandesh_samant We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,96,08-10-2022,14:17:33,Twitter Web App,0,0,swift
10,@1desh1law1 Please provide the exact location for necessary action,1.58E+18,66,08-10-2022,14:06:58,Twitter Web App,0,0,necessary
11,@abeeraks Powai Traffic Division has been informed for prompt action.,1.58E+18,69,08-10-2022,14:04:51,Twitter Web App,0,0,powai
12,@SainikMi Chembur Traffic Division has been informed for prompt action.,1.58E+18,71,08-10-2022,14:01:18,Twitter Web App,0,0,chembur
13,@pixiehopes We have escalated your request with Powai Traffic Division for necessary action.,1.58E+18,92,08-10-2022,13:59:53,Twitter Web App,0,0,powai
14,@VK_Andheri We have escalated your request with DN Nagar Traffic Division for necessary action.,1.58E+18,95,08-10-2022,13:59:13,Twitter Web App,0,0,nagar
15,@ambika_poojari Action taken on above mentioned vehicle u/s 122/177 of M.V. Act.,1.58E+18,80,08-10-2022,13:58:25,Twitter Web App,0,0,m.v.
16,@bhumiirparwani Action taken on above mentioned vehicle u/s 122/177 of M.V. Act.,1.58E+18,80,08-10-2022,13:56:35,Twitter Web App,0,0,m.v.
17,@mashrujeet We have intimated your concern to Dadar traffic branch for necessary action.,1.58E+18,88,08-10-2022,13:41:08,Twitter Web App,0,0,necessary
18,@Pawankumarkewal We have forwarded your concern to Mankhurd Traffic Division for necessary action.,1.58E+18,98,08-10-2022,13:36:31,Twitter Web App,0,0,mankhurd
19,@DrRohanbadguja2 We have intimated your concern to BKC traffic branch for necessary action.,1.58E+18,91,08-10-2022,13:23:32,Twitter Web App,0,0,necessary
20,@BycullaACI We are sharing your concern with Nagpada Traffic Division for necessary stringent action.,1.58E+18,101,08-10-2022,13:19:42,Twitter Web App,0,0,nagpada
21,@Bellatrix_Stark We have forwarded your concern to Kandivali Traffic Division for necessary action.,1.58E+18,99,08-10-2022,13:04:46,Twitter Web App,0,0,kandivali
22,@Ankush1730Gupta We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,97,08-10-2022,13:03:58,Twitter Web App,0,0,swift
23,@jaagopyare We are sharing your concern with Dadar Traffic Division for necessary stringent action.,1.58E+18,99,08-10-2022,13:02:43,Twitter Web App,0,0,dadar
24,@hunterwala We are sharing your concern with Bandra Traffic Division for necessary stringent action.,1.58E+18,100,08-10-2022,13:00:14,Twitter Web App,0,0,bandra
25,@BankerNot4Sale We have escalated your request with Jogeshwari Traffic Division for necessary action.,1.58E+18,101,08-10-2022,12:35:01,Twitter Web App,0,0,jogeshwari
26,@Abhishekpol786 We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,96,08-10-2022,12:32:38,Twitter Web App,1,0,swift
27,@mayanksinghal05 We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,97,08-10-2022,12:31:01,Twitter Web App,0,0,swift
28,@broutray We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,90,08-10-2022,12:30:47,Twitter Web App,0,0,swift
29,@EyeKaDoctor We have escalated your request with Santacruz Traffic Division for necessary action.,1.58E+18,97,08-10-2022,12:15:26,Twitter Web App,0,0,santacruz
30,@VK_Andheri We have escalated your request with D.N.nagar Traffic Division for necessary action.,1.58E+18,96,08-10-2022,12:12:54,Twitter Web App,0,0,d.n.nagar
31,@Vengsarcasm We have escalated your request with Dahisar Traffic Division for necessary action.,1.58E+18,95,08-10-2022,12:09:33,Twitter Web App,0,0,dahisar
32,@aksku69 We request you that if the address you provided is not sufficient send us the full address,1.58E+18,99,08-10-2022,12:07:28,Twitter Web App,0,0,full
33,@4miGala We have escalated your request with Malad Traffic Division for necessary action.,1.58E+18,89,08-10-2022,12:03:50,Twitter Web App,0,0,malad
34,@4miGala Action taken on above mentioned vehicle 06 vehicles u/s 122/177 of M.V. Act.,1.58E+18,85,08-10-2022,11:42:04,Twitter Web App,0,0,m.v.
35,@yogesh431 We have forwarded your concern to Vikhroli Traffic Division for necessary action.,1.58E+18,92,08-10-2022,11:36:25,Twitter Web App,0,0,vikhroli
36,@S90489910 We are sharing your concern with Jogeshwari Traffic Division for necessary stringent action.,1.58E+18,103,08-10-2022,11:27:40,Twitter Web App,0,0,jogeshwari
